学校,URL,答卷总数,问题简称,问题,答卷编号,回答
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,交通,学校交通便利吗，有地铁吗，在市区吗，不在的话进城要多久,A15,地铁有，离学校最近一公里多，要走很久！！！进市区一小时
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,交通,学校交通便利吗，有地铁吗，在市区吗，不在的话进城要多久,A16,最近的地铁口1.7km…到市中心1h左右吧
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,交通,学校交通便利吗，有地铁吗，在市区吗，不在的话进城要多久,A17,地铁 1km远，进城1h
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,交通,学校交通便利吗，有地铁吗，在市区吗，不在的话进城要多久,A18,校内不允许骑车但有校车循环运行，地铁口不在校门口旁，南门出去共享单车6min，学校在浦口区，到新街口40-50min地铁
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,交通,学校交通便利吗，有地铁吗，在市区吗，不在的话进城要多久,A19,便利，有地铁，在浦口区的市区，离南京较远
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,洗衣机,宿舍楼有洗衣机吗,A1,有
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,洗衣机,宿舍楼有洗衣机吗,A2,有，南苑是每个大合间一个，存在严重的有人洗衣服忘拿和往里面乱塞衣服现象
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,洗衣机,宿舍楼有洗衣机吗,A3,有，付费，烘干机也有
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,洗衣机,宿舍楼有洗衣机吗,A4,有的，另外我只知道艺术生男生的宿舍有烘干机
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,洗衣机,宿舍楼有洗衣机吗,A5,有公共洗衣机
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,洗衣机,宿舍楼有洗衣机吗,A6,有，一层楼只有一个
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,洗衣机,宿舍楼有洗衣机吗,A7,楼层有，丁家桥校区没有，这个地方太破了
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,洗衣机,宿舍楼有洗衣机吗,A8,有的，4元一次。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,洗衣机,宿舍楼有洗衣机吗,A9,每四间有一个，洗一次4块
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,洗衣机,宿舍楼有洗衣机吗,A10,有 5元/次
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A1,还行
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A2,很一般，时不时搞心态。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A3,还可以，且能用来看大把的校内网资源
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A4,校园卡贵，而且优惠只有两年
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A5,很快
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A6,很好，小贵，40元一个月，而且套餐第三年会告诉你变成120多一个月，如果不想付钱就再整一个套餐（刷业绩），而且深夜1\~4点网很烂，建议自装宽带
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A7,差，移动电信收费垄断
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A8,江浦校区很好，但是贵，60元/40元移动套餐80G大概，丁家桥校区没有网，只能用流量，柔电学院在这边
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A9,还凑合
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A10,最近提速升级了，在教室刷抖音完全不卡，在宿舍steam下载十几M/s吧
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A11,必须办移动或电信的卡才能用，移动最高千兆电信百兆。分四十块一个月和六十块一个月两个套餐，移动的据说用了两年后会涨价
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A12,不是很好，推荐电信。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A13,个人觉得还可以，我不玩电脑游戏
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A14,快！
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A15,300兆
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A16,不错
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,校园网,校园网怎么样,A17,还可以
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A1,周一到周五11点，周末11点半
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A2,断电不断网。夏季晚上十一点半，冬季晚上十一点。早晨六点恢复
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A3,不断网但断电，一般十一点到六点断电（但不是全年都断，不用担心太热太冷没有空调）
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A4,分宿舍区，新南苑冬季11点，夏季11点半，假日推迟半小时
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A5,11点
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A6,断电，分夏令时和冬令时，可以在学校公众号（工大小助）搜，西苑夏天每天比冬天晚断电半小时且周六不断电，部分山上的宿舍貌似不断电
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A7,十点半断电，不断网
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A8,周一到周五十一点半断电，周末十二点半
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A9,不
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A10,不断网，11点电
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A11,断电不断网，周日至周四十一点半，周五十二点
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A12,断电不断网，夏天平时十一点半周末十二点，冬天减半个小时。卫生间的热水和照明不会断，空调也不断电。亚青宿舍区不断电。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A13,断 夏天11点30 冬天11点
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A14,断电不断网，冬天工作日11：00，周末11：30；夏天工作日11：30，周末12：00。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A15,断电，十一点，十一点半左右，周末会迟半个小时，网不断。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A16,11:30/12:00不断网
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A17,23：30断电，不断网
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A18,断电不断网，周一到周四及周日23:30断电，周五周六0点断电
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,断电断网,每天断电断网吗，几点开始断,A19,断电不断网，十一点半，周末十二点
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A1,不太贵，有时候有
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A2,山上食堂象山贵，山下食堂东苑西苑北苑都好，南苑有点坑
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A3,学校里有八个食堂，天南海北什么都有，从十元两荤两素到肯德基麦当劳一应俱全，异物也得看是哪个食堂哪个窗口
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A4,偏贵，南苑不好吃，其它食堂都很远
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A5,偶尔有头发，部分好吃价格实惠疫情前附近小区居民也来打饭。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A6,不贵，不常见
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A7,贵，吃出过各种异物
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A8,价格还行，不会吃出异物，不太好吃
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A9,还行，不
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A10,不贵，味道还不错
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A11,不贵，不会，七个食堂供选择
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A12,没听说过异物，价格看吃什么
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A13,正常价格
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A14,一般偏贵，一顿十几块，可能有异物。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A15,正常偏贵，还没吃出异物，味道还可以吧我不挑
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A16,贵…真的比好多学校贵多了 好多不干净 泥工难吃
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A17,中规中矩
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A18,没遇到过，价格算合理
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,食堂,食堂价格贵吗，会吃出异物吗,A19,还可以，没有
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A1,早上六点到晚上十一点
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A2,0点以后不供应，早晨六点电力恢复后需要一段时间
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A3,独立卫浴有全天热水，其他澡堂不太了解
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A4,都有
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A5,11点半
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A6,我舍友的亲身测试是在早上六点左右到深夜12：45
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A7,取决于宿舍区实际情况，部分宿舍全天候，部分断电后停热水
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A8,半夜十二点之前
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A9,大概7-24点
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A10,全天
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A11,24H
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A12,不清楚
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A13,基本都是有的，熄灯后看运气可能停水可能不停。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A14,白天和晚上都有，半夜凌晨不清楚
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A15,新南苑限到熄灯
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A16,24h
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A17,与供电时间一致
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,热水,洗澡热水供应时间,A18,6到24点
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A1,不可以
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A2,好像可以，但没试过
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A3,不可以，校内禁止任何私用交通工具，自行车电动车平衡车都不行，抓到就没收，但有校车
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A4,不能，学校很大很多坡，全靠腿走
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A5,不可以，1，校内不能骑除电动车外的任何代步工具，保安会抓   2，校内电动车必须拥有一张有南工大logo的车牌才可以开    3，车牌只有研究生导师还是博士生导师签字才能拥有   4，校内无牌驾驶的人很多，每逢毕业季开始严抓，会晚上强制拖走车到堆放点没认领后签字收   5，可以想办法网上用纸或者亚克力定制一个假牌，骑着没人发现  6牌照的用处是可以凭此进出校门，所以校内电动车通常是找黑车载你和车进学校，或者直接在校内收，校内保安一般睁只眼闭只眼   7基本每个宿舍楼下都有充电桩
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A6,禁止骑车，可以开车
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A7,不能骑任何车
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A8,不能，只能走路
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A9,不允许，太sb了
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A10,不能，自行车电动车都不能骑但是有校车
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A11,研究生才能骑，自行车也不能骑
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A12,不可以。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A13,不可以不可以不可以，爬山大学
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A14,不！
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A15,本科生不允许，研究生允许
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A16,不可
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A1,不限
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A2,有限制功率的，但我们都会卡阈值
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A3,不限，电费自理
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A4,无
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A5,不限电，锅，吹风机，电磁炉，热水壶都可以放心用，但是宿管不允许用，每周查寝的时候要藏起来，宿舍大厅有公共吹风机，每用一次就要花钱计时
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A6,明面上不给用大功率电器，但可以用完锁柜子里
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A7,限电300w
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A8,不
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A9,不限电
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A10,感觉不限，不同时用太多大功率电器应该没事
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A11,没有
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A12,没有，随便用。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A13,不清楚，吹风机可以用
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A14,几乎无
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A15,（仅代表新南苑）未听说有因大功率电器使用导致跳闸的问题，吹风机烧水壶可以用，但属于违禁物品，不要让宿管看到
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,限电,宿舍限电情况,A16,不清楚
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A1,有
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A2,出校，请，记得请假
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A3,有，教学楼水电全天不断，但会锁门，想半中间回来大概率只能翻窗户
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A4,教室开放
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A5,有的，可以查空教室 ，基本开到11点，图书馆座位比较难抢
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A6,没有，只有课题组、部门、行政办公室这种私人地区可以
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A7,有，教学楼一大把
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A8,应该有
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A9,有但不多
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A10,文科楼底下或者宿舍。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A11,不清楚，没学过
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A12,图书馆各个学院楼都可以
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A13,文科楼
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,通宵自习,通宵自习有去处吗,A14,不清楚
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A1,能
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A2,随时能
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A3,可以，具体看辅导员
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A4,可以
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A5,别管辅导员还有谁说不能带，一定要带，而且带了完全没问题，说不能带的只是喜欢立规矩增加服从性罢了，辅导员就是个负责和学生沟通的，没有多大实权的，怕起冲突的话，偶尔偶尔导员来宿舍就把电脑藏起来，你是个大学生了，还不能日子过得有自主选择权一点吗，而且不管什么专业，电脑都很实用，真的必要，另外宿舍桌子有点小，放台式机够，但是生存空间会很逼仄，建议游戏本
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A6,有的可以有的不行，强行带也行
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A7,能，要申请
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A8,不知道
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A9,懂得都懂，你都带了还能能么样
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A10,理论上不行但是没人管
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A11,要申请，申请我们学院最后也没交就没管了其他学院不知道，建议带电脑方便抢课各种和学python，有的课展示也要做PPT
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A12,有的学院可以
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A13,小部分学院不行，要家长签署同意书。
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A14,计信院不给，但是没人查，放床上就好了
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A15,有的学院要打表…可以带
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,电脑,大一能带电脑吗,A16,可以，说不让带是吓吓你的
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A1,学生卡，微信支付宝学生卡
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A2,手机支付宝微信都可
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A3,现金手机校园卡都可以，除了银行卡都行
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A4,直接微信支付宝
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A5,支付宝微信，也可刷校园卡
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A6,zfb，wx，坐校车的话要从支付宝的完美校园小程序绑定学校，用里面的乘车码扫，一次5毛，往返山上山下
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A7,不怎么用卡，因为四非没有国家补贴，食堂支付宝微信云闪付都可以用，外人也可以随便买
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A8,用微信，支付宝都行
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A9,校园卡，吃饭可以支付宝，还行
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A10,校园卡，微信，支付宝
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A11,一顿饭十几块钱，微信支付就行，学校会发一张建行卡
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A12,直接扫码消费，除了檀香和象山需要刷卡进宿舍区以及要刷卡进图书馆外学生卡都没有用
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A13,支付码
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A14,微信支付宝\~你的银行卡\~
南京工业大学,https://cn.colleges.chat/universities/nan-jing-gong-ye-da-xue/,19,卡消费,学校里面用什么卡，饭堂怎样消费,A15,手机
